tweet,label
"RT @RobertoMTico: Lo que más me gustó de Gustavo Petro en #ElDebateDefinitivo fueron éstas DOS FRASES LAPIDARIAS: ""Haremos trizas la guerra…",1
RT @sergio_fajardo: Solo seis programas de Petro se vuelan el presupuesto en casi 65 billones. Los colombianos no aguantan más promesas vac…,0
RT @EnriquePenalosa: Petro dice que el arregló la basílica del Voto Nacional.¡Falso! Solo hizo unos diseños. Nosotros hicimos TODA la resta…,0
"RT @bluchob: Les voy a contar algo sobre la propuesta de los $ 50 billones que Petro le quiere cobrar a los privados:

El año pasado las 50…",0
RT @EnriquePenalosa: Petro dice que tuvo grandes logros en salud en Bogotá.¡Falso! Recibimos un desastre en que ciudadanos tenían q hacer f…,0
RT @CarlosFGalan: Suena interesante la visión de salud de Petro pero luego uno se acuerda que cuando Petro salió de la alcaldía de Bogotá d…,0
RT @EnriquePenalosa: Hoy va un dinero del Gobierno y otro de los trabajadores al ahorro pensional y pensiones.Petro dice q le quitará $18 b…,0
"RT @pedrohflorez: Viendo #ElDebateDefinitivo me quedo con esta propuesta de @petrogustavo, porque para garantizar un buen sistema de salud…",1
"RT @Pelicolombianas: Cuando Petro y Fajardo se pusieron a hablar de matemáticas.

#PetroGanaDebate 
#ElDebateDefinitivo https://t.co/jKBwzR…",1
RT @EnriquePenalosa: Petro dice que no hay diferencia entre el régimen venezolano y el colombiano.¿Si? ¿Acaso cuantos colombianos hay exila…,0
"En #ElDebateDefinitivo se ve el
cinismo arrogante mentiroso,
de @Petrogustavo, inventando
calumnias no concretadas… https://t.co/VRWsIcUbHd",0
"RT @SdrodriguezT: Si usted iba a votar por Petro, vio el debate y aún así piensa votar por Petro, usted no es un ignorante desinformado, us…",0
"RT @Fillipo2222: Cumpliendo con 🇨🇴 desde Madrid, España. Mi voto fue por @petrogustavo y @FranciaMarquezM... estoy muy feliz de poder vivir…",1
"RT @alexandrosanz7: Tengo 15 millones en PORVENIR y @petrogustavo me los va robar para dárselos a gente que nunca ha trabajado 😔
#ElDebateD…",0
RT @ernestoyamhure: La traficante de secuestrados @piedadcordoba debe estar bastante angustiada. Su jefe político @petrogustavo acaba de de…,0
"RT @SdrodriguezT: Advertidos: Gustavo Petro si gobernara haría la mayor reforma tributaria, 50 billones, aumento de impuestos como nunca an…",0
RT @MAndreaNieto: En #ElDebateDefinitivo los candidatos se juegan la recta final de una campaña polarizada. Petro no supera al ex president…,0
"RT @ernestoyamhure: En el computador de ‘Reyes’ se lee que @piedadcordoba no bajaba a @petrogustavo de HP. Hoy, después del anuncio de su e…",0
"RT @Estefan42812639: #ElDebateDefinitivo

Gustavo Petro fue al debate a exponer de sus fallidas propuestas o a hablar de URIBE?

Uribe⁴⁵ ya…",0
"RT @Tutunendo_: ¡Quiero decirles a los colombianos que @petrogustavo será el Presidente, y, por lo tanto, no vamos a defraudarnos a nosotro…",1
"RT @JMorales_C1: ""vamos a arreglar las iglesias""
@petrogustavo en
#ElDebateDefinitivo https://t.co/WadSedPkPJ",1
RT @ANIABELLO_R: #PetroCínico diciendo que Uribe hizo una negociación política con los paramilitares cuando él tiene en su campaña a las FA…,0
"RT @elgomezromero: @GustavoBolivar #ElDebateDefinitivo
Él es Gustavo Villegas, condenando por nexos con la oficina de Envigado mientras era…",0
RT @FelicianoValen: El candidato de la oficina de Envigado acusa a @petrogustavo de estar apoyado por el Clan del golfo y el paramilitarismo,0
"RT @MariaFdaCabal: Petro, ¿por qué no te callas?

#ElDebateDefinitivo https://t.co/Eggzp159Wt",0
"RT @AndresTrigos: ""Me quedé esperando un tinto con Duque para acordar programas de Gobierno"": Petro.

Otros, siempre insistimos que a Duque…",1
RT @EnriquePenalosa: Petro dice que tuvo grandes logros en salud en Bogotá.¡Falso! Recibimos un desastre en que él quebró totalmente la EPS…,0
"RT @AndresElGury: Si a @petrogustavo le quitan a Álex Vega, pierde las elecciones, confesó que su software le puso más de 700.000 votos. Su…",0
"RT @MAndreaNieto: Petro: “Uribe, Uribe, Uribe” ¡Ay por Dios! Supérelo ya! ¿No que ya lo derrotaron? #DebateElTiempoSemana #ElDebateDefiniti…",0
"RT @KevinHartmannC: En #ElDebateDefinitivo Petro se vió muy superior a los otros dos candidatos por una razón: al menos él se leyó, entendi…",1
"RT @AngelaSanchezL: La propuesta de un médico en casa que menciona @petrogustavo no es nueva, la presentamos en nuestro proyecto de Reforma…",1
"RT @julietanar28: #eldebatedefinitivo
Es de suponer que Petro va a ser más amigable de que lo que ha sido el gobierno de Duque con la dicta…",1
"RT @Elminarca: Petro como cosa rara fue a decir incoherencias en el debate.
#ElDebateDefinitivo 
#CualquieraMenosPetro https://t.co/qxaBchf…",0
"RT @by_Angie_: #ElDebateDefinitivo
Yo creo que por el debate de hoy de Petro seguirá perdiendo votos hasta el día 29... 
Ya la gente no com…",0
RT @EmmaClaudiaC: El candidato Petro cambia el discurso según el debate. Primero dijo que los ahorros en el sistema pensional eran de todos…,0
"RT @AlbertoBernalLe: La perdió ahí @petrogustavo, el man la acaba de embarrar bravo con lo de los fondos de pensiones, perdió el control 😅😅…",0
"RT @maclago12: Petro Salón de Belleza. 💇🏻‍♂️
#PetroGanaDebate #ElDebateDefinitivo https://t.co/oVMm65IQa9",0
"#ElDebateDefinitivo 
Por el respeto a la primera infancia
@petrogustavo @FranciaMarquezM https://t.co/ARCOE2hP92",1
"RT @ELTIEMPO: 🔴 #ElDebateDefinitivo | ""Francia Márquez va a gobernar a Colombia también"": Petro responde sobre el machismo en el país. Esto…",1
"RT @Gloarriero: #ElDebateDefinitivo #PetroGanaDebate 
330.000 conectados solo por ver a Petro
#PetroPresidenteEnPrimeraVuelta",1
"RT @ValeriaGuzmnY: #ElDebateDefinitivo
Petro se la pasó nombrando a Uribe todo el debate. ¡que fastidio! y aunque le duela a él y muchos Fi…",0
"RT @Borisanchezmald: El candidato Petro hablo en el debate de los manifestantes, se preocupa por los heridos y muertos, nisiquiera nombra a…",0
"RT @FranciaMarquezM: #PetroGanaDebate
#ElDebateDefinitivo
#ElCambioEnPrimera",1
"RT @pauyelich: Desde México ejerciendo mi derecho al voto, creo en la posibilidad de un cambio por eso mi voto es por Petro y Francia. #MiV…",1
"RT @DAMIAN_MORE: #ElDebateDefinitivo
#PetroGanaDebate https://t.co/whFMpoFnZI",1
"RT @RobertoMTico: En #ElDebateDefinitivo las propuestas de Gustavo Petro como no son ideológicas (le pertenecen a todo el mundo), se las pu…",1
"RT @Ander__Tor: #VotoPor @petrogustavo #ElDebateDefinitivo #YaEsSuficiente Este video me lo re confirma.
Atentos minuto 5:00
Ojo - Lo están…",1
"RT @Nygma7677: @juanmanuelgalan @petrogustavo PETRO PRESIDENTE 😍🥰

#PetroGanaDebate #ElDebateDefinitivo https://t.co/ufcSUmO2kl",1
"RT @Alexrolapiz1: El conchudo

#ElDebateDefinitivo #AColombiaLePreoupa #PetroGanaElDebate https://t.co/QWAY6X3e9w",1
RT @YeyitaGaGo: @AngelaSanchezL Y en qué momento pasó eso? Porque vi el debate y vi como Petro desde la paciencia y el amor trató de explic…,1
"RT @AleCarr14504453: Es triste la falta de argumentación de Petro y demuestra como no tiene claro lo que propone o no es verdad
#MiVotoEsPo…",0
RT @VDcartagena: Y si vieron la brillantez de Gustavo Petro al cierre del debate? Qué modo de hablar tan pausado pero tan seguro de lo que…,1
"RT @SergioEnCali: A Vicky y compañía toca mandarlos a moderar un asamblea en Univalle a ver si aprenden 🤣

#ElDebateDefinitivo 
#PetroGanaD…",1
"RT @ColHumanaPanama: #PetroGanaDebate | Desde la argumentación a confrontado temas políticos, económicos y sociales, hasta personales. #Pet…",1
"RT @mike_lombana: #ElDebateDefinitivo La reforma que propone Petro es excelente, el ""médico"" en casa fue una iniciativa excelente cuando fu…",1
"RT @_MDCC_: #ElDebateDefinitivo #PetroGanaDebate 
Ojalá haya tomado notas, PROFESOR https://t.co/QIFhAAdnKb",1
"RT @Alparaco_6402_: #ElDebateDefinitivo y sin más palabras..
#PetroGanaDebate 
#PetroPresidenteEnPrimera 
#PetroPresidente2022 https://t.co…",1
RT @claulopezgarzon: A @petrogustavo hay que reconocerle que como Senador no había dos como él a la hora de denunciar la corrupción. Esos d…,1
"RT @LauraMedinaRuiz: Si @petrogustavo dice que quiere extraditar a @piedadcordoba es porque sabe algo que nosotros no. 

#ElDebateDefinitivo",1
"RT @Categrico2: #ElDebateDefinitivo
Interesante hilo del médico Luis Gonzalo Morales sobre propuesta de salud de Petro. 
El Dr. Morales es…",1
RT @JuanGLealN: No más miedo al Cambio!!! #PetroPresidente2022 #CambioEnPrimera #MiVotoDeConfianzaEsPorPetro #ElDebateDefinitivo https://t.…,1
"RT @LuisFerAl93: Pelo el cobre Fajardo. Se le nota la rabia, la frustración de no ser él el que líderes el cambio. 
#PetroGanaDebate #ElDeb…",1
"RT @Nygma7677: #PetroGanaDebate y también la presidencia de Colombia. 🇨🇴

#ElDebateDefinitivo https://t.co/6BtIp0pmBB",1
"RT @rabingoreramaya: #ElDebateDefinitivo  #PetroGanaDebate, no hay nivel de debate, haciendo un parangón Futbolero, Gustavo Petro, los gole…",1
"RT @AbogRamirez7: #ElDebateDefinitivo #PetroGanaDebate 
Fajardo al hacerle la pregunta a Petro https://t.co/W29ZHk6OPM",1
RT @jasbcolombia: #ElDebateDefinitivo #PetroGanaDebate @petrogustavo y @FranciaMarquezM en primera M29 🇨🇴. https://t.co/CmTvrQyeXB,1
"RT @YeseRivero: En #ElDebateDefinitivo confirmo y reafirmo mi voto por #GustavoPetro, y es que definitivamente #PetroGanaDebate, siempre lo…",1
"RT @JsmeJ: Más vigente que nunca!!
#ElDebateDefinitivo 
#PetroGanaDebate 
#CambioEnPrimera https://t.co/Pg71xlWIWj",1
RT @JokerTheDark8: #ElDebateDefinitivo golpe de estado horror Francia Márquez cabal estamos unidos con el uribismo Duque #PetroGanaDebate…,1
"RT @Equimanthorn_6: Petro enseñando matemáticas a Flojardo.
#PetroGanaDebate #ElDebateDefinitivo 
#PetroPunk https://t.co/SeZUk3DTu4",1
"RT @softcol23: Si en Colombia se votara para que escoger el mejor, Petro ganaría por más del 80% de votos. 
#ElDebateDefinitivo #PetroGanaD…",1
"RT @JhonAlexanderGH: Mi presidente @petrogustavo 🫶🏼
#ElDebateDefinitivo 
#PetroGanaDebate https://t.co/6Ko5pkcEsP",1
RT @jucarbesa: @Margaritarosadf @petrogustavo #ElDebateDefinitivo mas bien parecía preguntas a tres señorías candidatas al reinado nacional…,1
RT @jucarbesa: @Margaritarosadf @petrogustavo Vimos un debate distinto. la verdad @petrogustavo no dijo nada que fuera realizable sin joder…,1
"@VickyDavilaH El candidato Petro hablo en el debate de los manifestantes, se preocupa por los heridos y muertos, ni… https://t.co/1QF6gwJiF4",1
"RT @Marcela97vega: Gustavo Petro: “Estoy seguro de que el domingo cambiaremos la historia de Colombia”
#UnTramposoEs #Eldebatedefinitivo #W…",1
"RT @JahelUp: Mientras los otros candidatos difaman, #PresidentePetro tiene propuestas y argumentos 🇨🇴🫶

¡#VotoPor el cambio por la vida!

#…",1
@Margaritarosadf @petrogustavo Vimos un debate distinto. la verdad @petrogustavo no dijo nada que fuera realizable… https://t.co/TPY4XsECSJ,0
"RT @dicalaca18: La actitud de Petro hoy, además de sobrada es desafiante y muy resentida. 
¡Que asco ese personaje!
#ElDebateDefinitivo",0
"#VotoPor 🤬🤬🤬🤬🤬🤬OJO 200 AÑOS MAS EN EL LEGADO DE LA MUERTE,, OJO...  #YaEsSuficiente Petro Texas… https://t.co/HFKHM3PH0T",0
"RT @Categrico2: #ElDebateDefinitivo
""El Cantinflas Colombiano""
¡Gustavo Petro ""reculando"" como le dijo Fajardo anoche en el debate! 🤣🤣🤣
#Fe…",0
"RT @Borisanchezmald: @jarizabaletaf @AreizaEcheverri El candidato Petro hablo en el debate de los manifestantes, se preocupa por los herido…",1
